,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:45,159,"1,338",454,1,16,40.6,93,3.77s,14,353,186,19,19,441,78%,6,6,87.1%,339,35,1,15,8,5,1,7,76%,25/33,Sea Eagles vs Broncos,Sea Eagles,2016
1,55%,29:02,187,"1,715",562,8,35,44,216,3.39s,12,399,212,38,18,466,100%,5,7,90.5%,296,16,0,15,8,4,0,6,77%,30/39,Sea Eagles vs Broncos,Broncos,2016
