,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:27,175,"1,270",268,2,29,36.3,98,3.01s,18,404,224,21,18,362,0,62%,0,8,4,91.5%,367,17,17,13,3,8,60%,21/35,Eels vs Broncos,Eels,2016
1,51%,27:32,164,"1,377",314,5,17,34.4,149,3.9s,9,398,202,16,22,632,2,71%,1,3,7,84.6%,308,29,27,12,4,8,70%,28/40,Eels vs Broncos,Broncos,2016
