,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:27,181,"1,707",537,3,21,43.8,215,3.23s,9,416,222,7,22,596,2,60%,0,4,5,91.3%,326,22,9,8,6,7,1,79%,31/39,Warriors vs Sea Eagles,Warriors,2017
1,50%,26:27,163,"1,561",541,3,22,41.1,124,3.24s,7,366,188,23,22,658,1,67%,2,2,5,90.9%,341,21,13,10,4,7,0,79%,30/38,Warriors vs Sea Eagles,Sea Eagles,2017
