,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,26:33,198,"1,682",466,7,31,44.3,187,3.48s,16,385,221,41,12,220,2,75%,2,3,86.4%,229,21,1,15,9,5,0,8,2,76%,29/38,Dragons vs Storm,Dragons,2017
1,42%,19:13,143,"1,258",282,7,21,42,144,3.52s,9,300,164,19,12,351,0,88%,0,1,83.7%,314,31,1,30,10,10,1,8,2,77%,23/30,Dragons vs Storm,Storm,2017
