,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,32:00,171,"1,628",519,4,22,42.9,203,6,402,216,8,22,601,1,95%,4,3,94.3%,366,15,0,7,7,2,0,84%,32/38,Roosters vs Rabbitohs,Roosters,2014
1,41%,22:14,167,"1,560",537,4,15,40,201,4,389,207,12,23,590,1,93%,4,3,90.6%,319,22,1,11,5,0,1,85%,33/39,Roosters vs Rabbitohs,Rabbitohs,2014
