,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,26:37,160,"1,596",562,4,28,48.4,182,2,387,208,15,19,589,2,82%,6,0,88.5%,309,21,0,19,1,85%,28/33,Cowboys vs Broncos,Cowboys,2014
1,49%,25:34,155,"1,449",468,4,21,42.6,225,10,381,202,12,19,511,2,88%,2,5,91.6%,329,28,1,2,3,71%,24/34,Cowboys vs Broncos,Broncos,2014
