,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:30,185,"1,621",575,6,50,42.7,149,3.33s,13,395,208,49,19,399,0,86%,4,2,87.2%,292,36,0,7,5,10,1,7,84%,32/38,Raiders vs Wests Tigers,Raiders,2018
1,47%,24:23,151,"1,508",511,10,36,39.7,145,3.33s,6,340,186,44,16,482,1,82%,1,6,83.3%,368,50,1,24,8,9,0,8,82%,31/38,Raiders vs Wests Tigers,Wests Tigers,2018
