,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,30:18,187,"1,657",544,3,27,40.4,160,3.49s,6,418,229,26,20,462,1,94%,4,2,91.6%,340,23,8,9,6,8,0,83%,34/41,Bulldogs vs Wests Tigers,Bulldogs,2018
1,48%,27:59,170,"1,540",502,1,23,44,137,3.22s,5,428,243,43,25,516,3,57%,3,11,90.5%,370,27,12,6,8,8,2,91%,32/35,Bulldogs vs Wests Tigers,Wests Tigers,2018
