,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,31:36,185,"1,696",552,3,25,44.6,187,18,427,217,12,26,578,2,100%,5,5,90.4%,292,23,8,5,74%,28/38,Dragons vs Warriors,Dragons,2014
1,37%,18:33,144,"1,424",463,4,23,41.9,114,7,376,212,4,19,479,0,93%,5,3,86.3%,340,25,29,9,65%,22/34,Dragons vs Warriors,Warriors,2014
