,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,26:15,148,"1,519",493,7,28,37.1,268,5,340,190,7,14,549,1,89%,1,6,90.8%,266,16,2,11,6,66%,27/41,Eels vs Warriors,Eels,2013
1,40%,17:30,126,"1,103",388,2,16,36.8,110,12,303,162,5,14,409,0,88%,3,3,88.9%,297,28,0,9,9,70%,21/30,Eels vs Warriors,Warriors,2013
