,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,20:20,154,"1,350",252,2,16,36.5,134,3.11s,5,361,193,12,21,748,0,80%,2,5,90.5%,361,25,1,13,10,6,7,3,73%,27/37,Eels vs Roosters,Eels,2016
1,56%,25:53,186,"1,806",348,3,25,46.3,259,3.38s,10,436,248,10,22,535,1,50%,8,5,92.3%,313,16,0,10,10,5,7,0,74%,29/39,Eels vs Roosters,Roosters,2016
