,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,28:40,174,"1,588",542,3,32,45.4,193,3.53s,14,395,206,18,21,487,1,71%,1,5,7,92.4%,351,25,4,10,8,8,80%,28/35,Warriors vs Cowboys,Warriors,2018
1,48%,26:28,158,"1,467",547,2,25,39.7,90,3.85s,4,398,229,27,21,418,0,77%,0,4,7,86.1%,327,32,21,5,7,8,86%,32/37,Warriors vs Cowboys,Cowboys,2018
