,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,22:14,167,"1,355",395,2,25,34.8,140,3.51s,4,349,185,9,15,374,1,78%,5,3,88.3%,326,29,14,15,6,8,64%,25/39,Cowboys vs Raiders,Cowboys,2019
1,53%,25:04,173,"1,595",469,4,29,38.9,154,3.29s,7,361,178,10,20,503,1,100%,4,5,90.3%,326,25,10,9,7,8,78%,32/41,Cowboys vs Raiders,Raiders,2019
