,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,36%,18:44,151,"1,355",484,2,24,34.7,86,3.8s,11,365,204,26,15,365,1,50%,4,5,84.5%,361,46,1,20,7,72%,28/39,Panthers vs Roosters,Panthers,2015
1,64%,33:19,187,"1,810",618,6,46,43.1,214,3.73s,13,434,230,32,20,519,1,91%,3,3,88.9%,319,24,1,16,6,74%,31/42,Panthers vs Roosters,Roosters,2015
