,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,26:06,181,"1,660",519,5,32,38.6,208,10,411,224,17,22,519,1,100%,4,6,83.2%,257,22,30,6,2,84%,36/43,Warriors vs Titans,Warriors,2014
1,46%,22:14,151,"1,233",364,1,22,37.4,144,22,319,155,11,15,454,2,65%,3,2,89.1%,358,32,12,9,1,64%,21/33,Warriors vs Titans,Titans,2014
