,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:39,156,"1,435",542,4,26,38.8,112,3.17s,4,335,179,13,19,601,1,47%,5,2,92.3%,371,25,6,10,7,8,2,76%,28/37,Wests Tigers vs Cowboys,Wests Tigers,2017
1,55%,27:41,168,"1,626",603,3,25,42.8,135,3.55s,4,406,223,23,26,602,3,88%,5,9,89.1%,327,26,14,11,6,8,2,79%,30/38,Wests Tigers vs Cowboys,Cowboys,2017
