,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,19:09,129,"1,168",231,1,24,41.7,136,3.12s,14,304,169,11,15,387,0,75%,3,5,84.9%,343,48,0,13,7,5,8,79%,22/28,Knights vs Warriors,Knights,2016
1,59%,27:33,201,"1,887",381,13,48,48.4,166,2.93s,11,435,245,14,17,348,1,67%,1,8,82.8%,216,24,1,21,6,6,7,74%,29/39,Knights vs Warriors,Warriors,2016
