,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,22:35,171,"1,411",473,3,24,41.5,101,3.18s,10,358,198,24,15,338,0,75%,1,5,84.1%,307,36,3,22,10,7,0,8,76%,26/34,Knights vs Storm,Knights,2017
1,52%,24:27,191,"1,964",571,11,36,50.4,159,3.15s,11,355,188,29,14,293,2,62%,2,6,88.5%,308,24,0,16,11,9,1,8,72%,28/39,Knights vs Storm,Storm,2017
