,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,27:48,196,"1,670",494,5,26,38.9,188,3.11s,9,425,223,9,25,658,0,83%,1,6,6,87.7%,314,36,8,8,5,8,1,79%,34/43,Cowboys vs Dragons,Cowboys,2019
1,48%,25:40,166,"1,442",465,3,36,38,152,3.2s,6,385,207,8,23,608,1,73%,0,6,4,90.2%,385,26,16,13,5,8,0,74%,28/38,Cowboys vs Dragons,Dragons,2019
