,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,21:23,159,"1,619",507,10,35,45,163,15,382,221,9,15,405,2,100%,2,2,84.7%,277,20,30,7,1,78%,28/36,Knights vs Dragons,Knights,2014
1,55%,26:08,160,"1,386",457,3,20,47.8,97,21,369,207,12,16,243,1,100%,2,6,83.6%,295,35,23,6,1,72%,21/29,Knights vs Dragons,Dragons,2014
