,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,29:30,199,"1,536",423,2,26,34.9,159,3.5s,15,443,245,14,21,691,2,69%,5,2,90.4%,376,23,0,17,12,5,2,0,8,1,75%,33/44,Dragons vs Eels,Dragons,2019
1,49%,28:21,177,"1,808",485,2,23,42.1,328,3.69s,8,430,236,13,24,604,4,82%,5,5,89.3%,359,26,1,17,13,8,2,1,8,1,74%,32/43,Dragons vs Eels,Eels,2019
