,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,30:40,221,"2,010",652,6,40,51.5,233,3.55s,14,449,247,70,22,512,1,70%,0,5,6,86.7%,366,34,0,22,12,9,8,0,74%,29/39,Panthers vs Titans,Panthers,2019
1,49%,29:27,209,"1,649",618,1,34,40.2,113,3.43s,14,426,233,66,22,568,2,77%,1,4,3,84.4%,325,40,2,20,16,5,7,2,73%,30/41,Panthers vs Titans,Titans,2019
