,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:56,152,"1,312",487,4,15,32,124,5,352,182,15,15,383,1,100%,4,3,94.2%,356,17,5,7,1,61%,25/41,Cowboys vs Titans,Cowboys,2013
1,55%,29:15,164,"1,431",562,2,17,37.7,140,3,429,236,15,22,568,2,75%,1,4,93.1%,312,15,8,5,0,68%,26/38,Cowboys vs Titans,Titans,2013
