,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Panthers vs Knights,2019
1,79:58,Error,Dylan Edwards,Panthers,,,,Panthers vs Knights,2019
2,79:27,Error,Hymel Hunt,Knights,,,,Panthers vs Knights,2019
3,78:21,Interchange #8,,Panthers,                   Spencer Leniu,                   Moses Leota,,Panthers vs Knights,2019
4,77:04,Error,Jacob Saifiti,Knights,,,,Panthers vs Knights,2019
5,76:34,Penalty - Hand in the Ruck,James Tamou,Panthers,,,,Panthers vs Knights,2019
6,74:55,Error,Viliame Kikau,Panthers,,,,Panthers vs Knights,2019
7,73:32,Interchange #8,,Knights,                   Jacob Saifiti,                   David Klemmer,,Panthers vs Knights,2019
8,73:27,Error,Starford Toa,Knights,,,,Panthers vs Knights,2019
9,71:27,Error,Starford Toa,Knights,,,,Panthers vs Knights,2019
10,69:56,Error,Kalyn Ponga,Knights,,,,Panthers vs Knights,2019
11,69:25,Interchange #7,,Panthers,                   Liam Martin,                   Wayde Egan,,Panthers vs Knights,2019
12,68:03,Error,Viliame Kikau,Panthers,,,,Panthers vs Knights,2019
13,67:59,Interchange - Sin Bin Return,Connor Watson,Knights,,,,Panthers vs Knights,2019
14,67:59,Interchange #6,,Panthers,                   Sione Katoa,                   Liam Martin,,Panthers vs Knights,2019
15,67:56,Conversion-Made,Nathan Cleary,Panthers,,,54-10,Panthers vs Knights,2019
16,66:35,Try,Nathan Cleary,Panthers,,,52-10,Panthers vs Knights,2019
17,66:27,Linebreak,James Tamou,Panthers,,,,Panthers vs Knights,2019
18,65:54,Interchange #7,,Knights,                   David Klemmer,                   Herman Ese'ese,,Panthers vs Knights,2019
19,65:46,Conversion-Made,Nathan Cleary,Panthers,,,48-10,Panthers vs Knights,2019
20,64:56,Video Referee,Try,Panthers,,,,Panthers vs Knights,2019
21,64:47,Try,Billy Burns,Panthers,,,46-10,Panthers vs Knights,2019
22,64:44,Linebreak,Billy Burns,Panthers,,,,Panthers vs Knights,2019
23,63:39,Conversion-Made,Nathan Cleary,Panthers,,,42-10,Panthers vs Knights,2019
24,62:13,Try,Nathan Cleary,Panthers,,,40-10,Panthers vs Knights,2019
25,62:12,Linebreak,Nathan Cleary,Panthers,,,,Panthers vs Knights,2019
26,60:55,Error,Mitchell Barnett,Knights,,,,Panthers vs Knights,2019
27,60:18,Error,Liam Martin,Panthers,,,,Panthers vs Knights,2019
28,59:10,Interchange #6,,Knights,                   Josh King,                   Jacob Saifiti,,Panthers vs Knights,2019
29,59:05,Conversion-Made,Nathan Cleary,Panthers,,,36-10,Panthers vs Knights,2019
30,57:43,Try,Moses Leota,Panthers,,,34-10,Panthers vs Knights,2019
31,57:40,Linebreak,Moses Leota,Panthers,,,,Panthers vs Knights,2019
32,57:12,Interchange #5,,Panthers,                   James Tamou,                   Reagan Campbell-Gillard,,Panthers vs Knights,2019
33,57:06,Sin Bin,Connor Watson,Knights,,,,Panthers vs Knights,2019
34,57:02,Penalty - Professional Foul,Connor Watson,Knights,,,,Panthers vs Knights,2019
35,55:42,Error,Jarome Luai,Panthers,,,,Panthers vs Knights,2019
36,54:35,Interchange #4,,Panthers,                   Moses Leota,                   Spencer Leniu,,Panthers vs Knights,2019
37,52:54,Conversion-Made,Nathan Cleary,Panthers,,,30-10,Panthers vs Knights,2019
38,51:57,Video Referee,Try,Panthers,,,,Panthers vs Knights,2019
39,51:48,Try,Wayde Egan,Panthers,,,28-10,Panthers vs Knights,2019
40,51:37,Linebreak,Billy Burns,Panthers,,,,Panthers vs Knights,2019
41,50:27,Interchange #5,,Knights,                   Daniel Saifiti,                   David Klemmer,,Panthers vs Knights,2019
42,50:22,Conversion-Made,Nathan Cleary,Panthers,,,24-10,Panthers vs Knights,2019
43,49:41,Video Referee,Try,Panthers,,,,Panthers vs Knights,2019
44,49:37,Try,Billy Burns,Panthers,,,22-10,Panthers vs Knights,2019
45,49:35,Error,Mason Lino,Knights,,,,Panthers vs Knights,2019
46,49:32,Kick Bomb,Nathan Cleary,Panthers,,,,Panthers vs Knights,2019
47,48:18,Penalty - Ball Strip,Connor Watson,Knights,,,,Panthers vs Knights,2019
