,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,28:19,188,"1,873",488,8,45,45.7,271,3.22s,11,447,273,19,14,308,1,80%,2,3,86.6%,253,20,0,19,11,8,0,8,76%,31/41,Panthers vs Knights,Panthers,2019
1,43%,21:22,125,"1,061",300,2,20,34.2,68,3.93s,12,299,166,9,13,295,2,71%,2,7,85.1%,337,45,1,14,13,8,1,8,68%,21/31,Panthers vs Knights,Knights,2019
