,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,21:30,156,"1,375",482,2,19,39.3,68,17,349,174,17,17,410,100%,5,2,83.1%,299,48,13,6,66%,23/35,Broncos vs Eels,Broncos,2014
1,57%,28:31,171,"1,602",577,6,48,42.2,126,8,379,197,5,18,436,90%,3,2,85.9%,262,19,24,8,74%,28/38,Broncos vs Eels,Eels,2014
