,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,23:05,162,"1,383",464,2,30,41.9,100,3.62s,12,342,171,4,17,637,0,63%,4,1,85.7%,372,45,2,17,9,7,1,1,8,82%,27/33,Bulldogs vs Wests Tigers,Bulldogs,2019
1,59%,33:13,220,"1,955",627,4,45,46.6,311,3.6s,10,456,255,15,29,538,5,80%,7,10,87%,328,30,0,19,8,6,0,1,7,88%,37/42,Bulldogs vs Wests Tigers,Wests Tigers,2019
