,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:48,178,"1,678",338,5,33,43,249,3.52s,13,382,198,10,22,531,3,75%,6,8,84.8%,313,36,0,20,10,6,0,8,0,82%,32/39,Eels vs Dragons,Eels,2019
1,50%,25:48,159,"1,427",340,4,36,42,186,3.28s,12,366,196,13,18,540,2,71%,2,4,84.4%,347,33,1,31,7,9,1,8,1,79%,27/34,Eels vs Dragons,Dragons,2019
