,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,24:49,167,"1,804",580,9,46,47.5,160,3.69s,16,371,200,26,17,292,0,90%,6,4,83.2%,258,21,0,31,6,0,84%,32/38,Wests Tigers vs Warriors,Wests Tigers,2015
1,48%,22:55,145,"1,347",437,4,21,42.1,139,3.82s,17,335,182,26,16,374,2,75%,3,6,81.2%,312,46,1,26,8,2,81%,26/32,Wests Tigers vs Warriors,Warriors,2015
