,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,23:01,180,"1,749",541,5,44,48.6,170,3.6s,9,381,197,18,21,501,1,71%,0,6,6,83.8%,284,34,0,21,9,4,7,78%,28/36,Raiders vs Eels,Raiders,2017
1,51%,23:58,164,"1,397",386,3,34,46.6,115,3.67s,11,336,171,17,16,472,0,58%,1,4,2,85.1%,337,44,1,15,9,6,7,83%,25/30,Raiders vs Eels,Eels,2017
