,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:05,177,"1,539",443,4,27,45.3,114,3.18s,9,442,258,14,22,409,1,57%,3,7,89.7%,367,25,0,17,8,4,8,4,71%,24/34,Dragons vs Titans,Dragons,2016
1,51%,27:08,186,"1,857",527,5,25,47.6,244,3.52s,12,432,223,8,25,591,3,92%,8,5,90.1%,374,27,1,14,6,3,8,0,85%,33/39,Dragons vs Titans,Titans,2016
