,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:29,175,"1,450",415,1,18,40.3,160,3.76s,5,391,212,34,25,571,1,50%,0,9,5,88.2%,345,31,15,6,8,7,86%,31/36,Warriors vs Storm,Warriors,2017
1,49%,26:24,176,"1,521",407,4,31,37.1,160,3.52s,11,369,181,33,26,705,0,68%,1,5,5,93.2%,368,18,9,7,9,8,83%,34/41,Warriors vs Storm,Storm,2017
