,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,28:19,193,"1,606",558,2,39,41.2,215,3.44s,8,439,258,32,21,590,5,50%,2,9,86.4%,312,37,12,6,2,8,0,87%,34/39,Cowboys vs Broncos,Cowboys,2017
1,44%,22:15,158,"1,507",573,7,37,47.1,164,3.36s,10,345,174,22,22,595,3,60%,4,9,86.3%,333,39,14,9,9,8,2,78%,25/32,Cowboys vs Broncos,Broncos,2017
