,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,27:40,169,"1,775",633,2,47,48,279,3.07s,12,405,222,28,24,479,0,73%,7,5,89.1%,393,28,20,15,4,2,8,0,70%,26/37,Roosters vs Broncos,Roosters,2018
1,53%,31:11,184,"1,823",732,3,28,45.6,203,3.55s,11,428,222,27,28,991,2,56%,3,9,83.4%,311,47,15,5,5,0,8,2,90%,36/40,Roosters vs Broncos,Broncos,2018
