,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,23:24,154,"1,361",455,3,24,35.8,110,3.53s,6,373,211,18,18,449,1,62%,2,5,87.5%,350,36,1,14,9,7,7,76%,29/38,Knights vs Rabbitohs,Knights,2016
1,53%,26:23,176,"1,707",610,8,36,41.6,270,3.31s,7,433,243,28,21,523,3,75%,5,7,89.6%,300,25,0,10,12,9,8,76%,31/41,Knights vs Rabbitohs,Rabbitohs,2016
