,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:14,188,"1,470",439,1,33,42,60,3.71s,20,380,205,35,12,231,0,71%,3,2,84.7%,311,42,1,14,16,4,8,63%,22/35,Wests Tigers vs Panthers,Wests Tigers,2017
1,51%,26:16,181,"1,663",414,9,42,43.8,111,3.77s,10,370,198,49,14,427,1,86%,3,1,81.7%,295,33,2,33,10,9,8,74%,28/38,Wests Tigers vs Panthers,Panthers,2017
