,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,29:41,171,"1,739",489,10,36,41.4,339,13,432,247,25,16,484,2,100%,3,3,86.9%,271,29,12,4,0,0,76%,32/42,Sea Eagles vs Eels,Sea Eagles,2013
1,41%,20:38,133,"1,137",392,3,29,37.9,89,8,344,191,5,17,598,0,80%,1,4,86.1%,321,36,16,5,1,1,80%,24/30,Sea Eagles vs Eels,Eels,2013
