,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,23:24,167,"1,458",463,5,26,33.9,210,6,392,203,23,22,659,3,100%,0,0,3,94.1%,321,13,7,5,1,77%,33/43,Rabbitohs vs Knights,Rabbitohs,2013
1,55%,28:36,148,"1,323",446,4,13,33.9,200,4,362,193,15,21,654,1,86%,1,1,2,91.1%,348,26,8,8,0,77%,30/39,Rabbitohs vs Knights,Knights,2013
