,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,67%,35:42,155,"1,363",478,1,24,34.1,104,6,403,225,18,20,483,1,93%,0,5,6,89.3%,326,19,2,20,6,65%,26/40,Warriors vs Sea Eagles,Warriors,2014
1,33%,17:35,170,"1,405",438,5,19,33.5,78,15,400,217,12,20,541,1,80%,1,2,4,90.3%,327,24,0,11,7,76%,32/42,Warriors vs Sea Eagles,Sea Eagles,2014
