,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,30:21,192,"1,741",597,5,24,41.5,165,3.79s,13,460,255,32,19,419,1,73%,6,4,85.7%,276,28,18,9,11,8,1,79%,33/42,Titans vs Roosters,Titans,2016
1,43%,22:53,154,"1,412",460,1,28,38.2,105,3.09s,9,351,186,13,15,448,1,70%,7,0,89.9%,390,24,20,13,8,8,0,68%,25/37,Titans vs Roosters,Roosters,2016
