,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,21:38,147,"1,235",443,2,24,41.2,88,3.35s,10,307,170,17,13,385,1,89%,2,2,87.4%,396,48,9,6,12,1,8,1,77%,23/30,Warriors vs Rabbitohs,Warriors,2019
1,59%,31:08,195,"1,751",564,7,48,43.8,192,3.86s,9,403,223,24,19,418,3,100%,3,5,86.7%,261,24,16,4,8,0,8,0,90%,36/40,Warriors vs Rabbitohs,Rabbitohs,2019
