,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,30:15,173,"1,625",513,6,26,41.7,160,3.81s,7,389,212,27,18,583,0,100%,5,2,88.5%,308,19,3,21,7,72%,28/39,Roosters vs Raiders,Roosters,2015
1,37%,17:46,150,"1,351",436,1,19,36.5,118,3.82s,7,329,172,27,14,349,1,50%,4,4,90.8%,356,26,0,10,6,62%,23/37,Roosters vs Raiders,Raiders,2015
