,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,26:27,161,"1,739",528,6,25,40.4,138,11,388,204,6,17,432,67%,7,2,86.7%,306,26,21,4,67%,29/43,Roosters vs Wests Tigers,Roosters,2014
1,49%,25:25,157,"1,457",563,0,26,40.5,115,10,387,208,12,20,394,83%,2,4,86.3%,271,25,18,7,58%,21/36,Roosters vs Wests Tigers,Wests Tigers,2014
