,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,28:18,177,"1,694",566,6,33,40.3,135,10,444,252,12,18,419,0,75%,0,4,86.8%,237,21,1,15,6,1,74%,31/42,Eels vs Dragons,Eels,2014
1,43%,21:20,124,"1,172",416,3,21,32.6,168,11,296,157,9,15,354,4,100%,3,6,88.7%,353,33,0,12,8,0,50%,18/36,Eels vs Dragons,Dragons,2014
