,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,24:54,151,"1,540",514,8,34,42.8,180,14,363,194,12,17,557,0,88%,2,1,92.3%,358,13,0,17,7,69%,25/36,Storm vs Raiders,Storm,2014
1,53%,28:04,165,"1,530",532,3,13,38.3,186,15,407,226,20,20,416,3,92%,3,7,85.4%,309,34,2,19,3,65%,26/40,Storm vs Raiders,Raiders,2014
