,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,31:38,201,"1,777",623,4,35,42.3,226,2.92s,16,446,238,34,19,487,2,92%,5,4,86.1%,278,30,15,13,11,1,8,0,81%,34/42,Panthers vs Wests Tigers,Panthers,2018
1,44%,24:51,156,"1,335",485,1,30,34.2,86,2.98s,10,351,188,30,17,442,0,50%,7,4,87.1%,400,35,24,11,11,1,7,2,77%,30/39,Panthers vs Wests Tigers,Wests Tigers,2018
