,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:22,177,"1,345",345,2,13,36.4,137,3.62s,10,374,208,50,18,501,4,75%,2,7,84.2%,298,40,0,16,12,12,0,7,76%,28/37,Sharks vs Dragons,Sharks,2018
1,51%,27:27,164,"1,361",416,1,40,35.8,117,3.62s,10,357,189,53,16,379,1,50%,3,4,90.3%,326,13,1,22,11,8,1,8,74%,28/38,Sharks vs Dragons,Dragons,2018
