,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,26:58,184,"1,800",580,8,33,46.2,171,9,409,221,0,21,665,0,100%,2,4,96.9%,286,6,1,3,5,90%,35/39,Roosters vs Eels,Roosters,2013
1,45%,22:04,122,"1,144",428,0,6,40.9,110,1,278,152,3,13,362,1,92%,3,2,86.7%,340,33,0,19,6,61%,17/28,Roosters vs Eels,Eels,2013
