,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,24:49,145,"1,411",560,3,36,42.8,145,3.31s,5,332,167,12,20,670,0,71%,2,5,87.4%,334,24,24,10,5,1,8,0,79%,26/33,Broncos vs Eels,Broncos,2019
1,54%,29:07,188,"1,813",615,5,24,47.7,283,3.64s,16,398,222,6,17,460,1,12%,2,4,88.5%,330,36,7,11,7,0,8,2,71%,27/38,Broncos vs Eels,Eels,2019
