,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,21:09,155,"1,473",504,4,32,40.9,144,7,358,186,9,20,563,0,93%,6,0,87.9%,311,28,15,8,1,86%,31/36,Panthers vs Broncos,Panthers,2014
1,53%,23:51,149,"1,394",500,6,28,36.7,208,10,375,209,13,18,557,1,82%,5,3,88.2%,313,32,10,6,0,76%,29/38,Panthers vs Broncos,Broncos,2014
