,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:58,184,"1,710",585,3,32,43.9,275,3.33s,22,420,219,23,25,742,2,65%,8,3,91.9%,340,24,6,6,2,8,85%,33/39,Rabbitohs vs Wests Tigers,Rabbitohs,2016
1,50%,26:58,162,"1,732",553,3,24,48.1,264,3.76s,4,368,177,17,27,647,2,76%,3,9,83.5%,318,32,31,4,5,7,92%,33/36,Rabbitohs vs Wests Tigers,Wests Tigers,2016
