,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,22:18,163,"1,488",510,5,16,39.2,164,13,390,224,0,13,350,1,90%,3,3,91.5%,311,20,9,6,0,71%,27/38,Cowboys vs Storm,Cowboys,2013
1,52%,24:10,162,"1,539",499,6,20,39.5,132,8,368,195,1,17,487,1,100%,4,4,90.5%,305,16,16,9,1,72%,28/39,Cowboys vs Storm,Storm,2013
