,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,27:01,190,"1,490",444,2,23,40.3,147,3.56s,10,429,241,11,22,620,2,100%,3,6,87.2%,328,36,0,12,9,3,7,1,78%,29/37,Bulldogs vs Eels,Bulldogs,2019
1,50%,27:01,173,"1,895",555,4,36,54.1,256,3.65s,9,372,195,8,17,463,2,75%,2,7,90.2%,351,23,2,15,17,3,8,2,71%,25/35,Bulldogs vs Eels,Eels,2019
