,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,67%,37:28,213,"1,944",692,6,60,42.3,177,3.68s,8,486,263,28,24,605,1,89%,1,8,5,88%,263,27,1,9,10,3,0,6,85%,39/46,Roosters vs Panthers,Roosters,2018
1,33%,18:27,129,"1,171",413,2,27,40.4,167,3.13s,7,297,154,26,18,446,0,67%,0,5,4,85.7%,426,60,1,11,14,9,1,8,69%,20/29,Roosters vs Panthers,Panthers,2018
