,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,23:53,151,"1,465",471,7,34,43.1,131,3.56s,7,352,199,36,18,343,1,25%,0,4,6,84.5%,284,25,27,5,4,7,1,85%,29/34,Knights vs Titans,Knights,2017
1,48%,22:02,151,"1,356",449,2,25,46.8,112,3.87s,16,353,193,48,18,363,0,73%,1,3,1,86%,264,34,9,9,6,8,2,69%,20/29,Knights vs Titans,Titans,2017
