,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:53,170,"1,424",391,4,36,41.9,208,3.57s,12,368,198,14,16,460,1,83%,9,1,89.9%,349,23,0,16,13,7,8,71%,24/34,Wests Tigers vs Eels,Wests Tigers,2019
1,49%,24:52,161,"1,468",446,2,23,41.9,147,3.64s,9,376,197,2,23,697,1,60%,2,3,84.7%,299,36,1,18,5,4,8,83%,29/35,Wests Tigers vs Eels,Eels,2019
