,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,25:23,154,"1,367",454,6,38,36,149,9,392,215,7,21,426,3,70%,2,11,88.8%,301,25,13,5,1,76%,29/38,Warriors vs Wests Tigers,Warriors,2014
1,46%,21:38,145,"1,139",426,2,25,38,111,10,343,178,11,16,363,1,67%,3,8,84.8%,279,38,12,6,0,73%,22/30,Warriors vs Wests Tigers,Wests Tigers,2014
