,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:01,191,"1,836",559,3,31,39.9,314,3.14s,6,422,232,8,22,569,6,67%,9,5,89.9%,338,25,13,10,5,8,1,78%,36/46,Storm vs Roosters,Storm,2019
1,46%,25:35,178,"1,514",483,3,25,42.1,135,3.33s,9,380,203,4,16,549,1,85%,6,3,90.3%,362,31,8,13,10,6,2,72%,26/36,Storm vs Roosters,Roosters,2019
