,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,21:12,159,"1,552",563,2,23,40.8,120,12,383,195,13,22,492,90%,5,6,89.7%,287,24,9,3,68%,26/38,Panthers vs Bulldogs,Panthers,2014
1,56%,26:58,153,"1,415",514,4,24,39.3,128,7,364,191,9,19,532,92%,3,5,88.2%,298,23,17,8,67%,24/36,Panthers vs Bulldogs,Bulldogs,2014
