,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,23:41,159,"1,454",460,2,19,42.8,139,3.01s,10,412,225,29,21,458,2,100%,6,6,92.4%,315,21,5,14,12,2,7,79%,27/34,Titans vs Rabbitohs,Titans,2018
1,49%,22:45,146,"1,333",403,5,21,30.3,129,3.12s,4,346,206,24,8,292,0,62%,1,0,90.8%,336,19,15,16,4,0,8,64%,28/44,Titans vs Rabbitohs,Rabbitohs,2018
