,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:26,187,"1,640",583,2,27,39.1,134,3.78s,5,417,231,21,21,615,1,81%,0,3,2,89.2%,331,25,0,15,3,0,76%,32/42,Sea Eagles vs Raiders,Sea Eagles,2015
1,51%,27:30,179,"1,635",565,4,25,38,196,3.71s,9,379,181,12,24,769,1,67%,1,6,2,90.5%,361,27,2,11,7,1,81%,35/43,Sea Eagles vs Raiders,Raiders,2015
