,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,29:34,213,"1,786",535,5,48,41.5,181,3.55s,7,444,252,28,18,434,1,67%,4,7,88.6%,312,30,1,10,12,8,0,0,8,1,72%,31/43,Storm vs Knights,Storm,2019
1,45%,24:11,178,"1,368",328,1,30,38,159,3.46s,6,343,196,20,13,346,1,80%,6,2,86.7%,370,48,0,9,17,7,1,1,7,1,58%,21/36,Storm vs Knights,Knights,2019
