,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:52,158,"1,450",496,3,37,39.2,144,3.5s,9,347,184,9,18,512,0,64%,0,4,2,88.3%,323,24,1,19,7,10,8,0,81%,30/37,Raiders vs Storm,Raiders,2016
1,56%,29:06,178,"1,453",458,2,24,36.3,99,3.73s,8,393,217,20,19,445,1,89%,1,3,8,87%,348,37,0,15,9,8,7,2,78%,31/40,Raiders vs Storm,Storm,2016
