,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:07,170,"1,500",600,1,19,39.5,185,12,388,193,6,25,779,4,83%,0,5,5,92.3%,275,18,5,6,0,87%,33/38,Titans vs Sea Eagles,Titans,2013
1,48%,24:06,141,"1,241",343,4,18,36.5,206,5,334,184,7,16,548,0,90%,1,3,2,90.4%,359,19,19,6,1,65%,22/34,Titans vs Sea Eagles,Sea Eagles,2013
